Case ID,Activity,Complete Timestamp,Outcome,outcome
b1_0,Loan__application_received,2004-02-02 10:00:00.000,,
b1_1,Loan__application_received,2004-02-02 10:30:00.000,,
b1_2,Loan__application_received,2004-02-02 11:00:00.000,,
b1_1,Check__application__form_completeness,2004-02-02 11:00:48.142,,
b1_0,Check__application__form_completeness,2004-02-02 11:00:56.358,,
b1_0,Return_application_back_to_applicant,2004-02-02 11:01:07.305,,
b1_1,Appraise_property,2004-02-02 11:04:50.748,,
b1_1,Check_credit_history,2004-02-02 11:09:13.243,,
b1_2,Check__application__form_completeness,2004-02-02 11:21:05.546,,
b1_3,Loan__application_received,2004-02-02 11:30:00.000,,
b1_2,Appraise_property,2004-02-02 11:35:44.797,,
b1_0,Receive_updated_application,2004-02-02 11:51:43.074,,
b1_4,Loan__application_received,2004-02-02 12:00:00.000,,
b1_4,Check__application__form_completeness,2004-02-02 12:04:07.431,,
b1_1,Assess_loan_risk,2004-02-02 12:04:13.397,,
b1_0,Check__application__form_completeness,2004-02-02 12:04:21.137,,
b1_2,Check_credit_history,2004-02-02 12:06:32.315,,
b1_4,Return_application_back_to_applicant,2004-02-02 12:08:27.038,,
b1_0,Check_credit_history,2004-02-02 12:14:07.865,,
b1_5,Loan__application_received,2004-02-02 12:30:00.000,,
b1_3,Check__application__form_completeness,2004-02-02 12:37:49.281,,
b1_2,Assess_loan_risk,2004-02-02 12:38:06.744,,
b1_4,Receive_updated_application,2004-02-02 12:40:41.601,,
b1_0,Appraise_property,2004-02-02 12:43:30.926,,
b1_0,Assess_loan_risk,2004-02-02 12:48:23.623,,
b1_5,Check__application__form_completeness,2004-02-02 12:51:42.814,,
b1_3,Appraise_property,2004-02-02 12:52:35.762,,
b1_5,Check_credit_history,2004-02-02 12:57:39.125,,
b1_0,Assess_eligibility,2004-02-02 12:59:03.412,,
b1_6,Loan__application_received,2004-02-02 13:00:00.000,,
b1_1,Assess_eligibility,2004-02-02 13:05:56.641,,
b1_2,Assess_eligibility,2004-02-02 13:07:09.882,,
b1_6,Check__application__form_completeness,2004-02-02 13:10:27.169,,
b1_5,Assess_loan_risk,2004-02-02 13:15:01.334,,
b1_6,Check_credit_history,2004-02-02 13:17:17.001,,
b1_5,Appraise_property,2004-02-02 13:19:21.102,,
b1_5,Assess_eligibility,2004-02-02 13:22:29.249,,
b1_6,Assess_loan_risk,2004-02-02 13:28:35.530,,
b1_5,Prepare_acceptance_pack,2004-02-02 13:29:59.820,,
b1_7,Loan__application_received,2004-02-02 13:30:00.000,,
b1_6,Appraise_property,2004-02-02 13:32:23.042,,
b1_0,Prepare_acceptance_pack,2004-02-02 13:33:09.021,,
b1_7,Check__application__form_completeness,2004-02-02 13:37:47.759,,
b1_1,Prepare_acceptance_pack,2004-02-02 13:38:42.532,,
b1_7,Check_credit_history,2004-02-02 13:48:32.727,,
b1_0,Check_if_home_insurance_quote_is_requested,2004-02-02 13:50:35.279,,
b1_5,Check_if_home_insurance_quote_is_requested,2004-02-02 13:52:24.073,,
b1_3,Check_credit_history,2004-02-02 13:57:41.182,,
b1_8,Loan__application_received,2004-02-02 14:00:00.000,,
b1_1,Check_if_home_insurance_quote_is_requested,2004-02-02 14:07:00.068,,
