Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,outcome
Application_387012864,A_Create Application,User_1,2016-01-02 01:00:01.353,2016/01/02 01:00:01.353,
Application_1966208034,A_Create Application,User_1,2016-01-02 02:06:50.703,2016/01/02 02:06:50.703,
Application_1966208034,A_Submitted,User_1,2016-01-02 02:06:50.748,2016/01/02 02:06:50.748,
Application_1966208034,A_Concept,User_1,2016-01-02 02:08:20.419,2016/01/02 02:08:20.419,
Application_470922426,A_Create Application,User_52,2016-01-02 23:04:02.686,2016/01/02 23:04:02.686,
Application_857715587,A_Create Application,User_3,2016-01-02 23:59:43.597,2016/01/02 23:59:43.597,
Application_857715587,W_Complete application,User_3,2016-01-02 23:59:43.606,2016/01/03 00:06:51.629,
Application_857715587,A_Concept,User_3,2016-01-02 23:59:43.608,2016/01/02 23:59:43.608,
Application_857715587,A_Accepted,User_3,2016-01-03 00:03:31.837,2016/01/03 00:03:31.837,
Application_857715587,O_Create Offer,User_3,2016-01-03 00:06:15.693,2016/01/03 00:06:15.693,
Application_857715587,O_Created,User_3,2016-01-03 00:06:17.078,2016/01/03 00:06:17.078,
Application_857715587,W_Call after offers,User_3,2016-01-03 00:06:51.629,2016/01/03 00:06:51.629,
Application_857715587,A_Complete,User_3,2016-01-03 00:06:51.629,2016/01/03 00:06:51.629,
Application_857715587,O_Sent (mail and online),User_3,2016-01-03 00:06:51.629,2016/01/03 00:06:51.629,
Application_1966208034,W_Complete application,User_19,2016-01-03 00:25:45.461,2016/01/03 00:59:33.658,
Application_1966208034,A_Accepted,User_19,2016-01-03 00:47:16.786,2016/01/03 00:47:16.786,
Application_1966208034,O_Create Offer,User_19,2016-01-03 00:52:19.034,2016/01/03 00:52:19.034,
Application_1966208034,O_Created,User_19,2016-01-03 00:52:20.203,2016/01/03 00:52:20.203,
Application_1966208034,O_Sent (mail and online),User_19,2016-01-03 00:59:33.633,2016/01/03 00:59:33.633,
Application_1966208034,W_Call after offers,User_19,2016-01-03 00:59:33.668,2016/01/03 00:59:33.668,
Application_1966208034,A_Complete,User_19,2016-01-03 00:59:33.671,2016/01/03 00:59:33.671,
Application_1118236712,A_Create Application,User_1,2016-01-03 01:18:10.582,2016/01/03 01:18:10.582,
Application_1118236712,A_Submitted,User_1,2016-01-03 01:18:10.626,2016/01/03 01:18:10.626,
Application_1118236712,A_Concept,User_1,2016-01-03 01:19:17.754,2016/01/03 01:19:17.754,
Application_1357431492,A_Create Application,User_1,2016-01-04 04:19:57.948,2016/01/04 04:19:57.948,
Application_1357431492,A_Submitted,User_1,2016-01-04 04:19:57.982,2016/01/04 04:19:57.982,
Application_1357431492,A_Concept,User_1,2016-01-04 04:20:32.772,2016/01/04 04:20:32.772,
Application_1886382319,A_Create Application,User_2,2016-01-04 17:51:28.458,2016/01/04 17:51:28.458,
Application_1118236712,W_Complete application,User_108,2016-01-04 18:25:59.291,2016/01/07 01:30:21.468,
Application_54405635,A_Create Application,User_47,2016-01-04 19:40:54.565,2016/01/04 19:40:54.565,
